"YEARMONTH","MONTHLY_DOSAGE_UNIT","SMOOTHED_MONTHLY_DOSAGE_UNIT"
"200601",29572440.0,28386088.0
"200602",27199736.0,29621790.0
"200603",32093194.0,29508623.33333333333333333333333333
"200604",29232940.0,29556930.33333333333333333333333333
"200605",27344657.0,30100400.33333333333333333333333333
"200606",33723604.0,30990886.66666666666666666666666667
"200607",31904399.0,33134952.33333333333333333333333333
"200608",33776854.0,32378029.33333333333333333333333333
"200609",31452835.0,32840998.0
"200610",33293305.0,30849836.33333333333333333333333333
"200611",27803369.0,31206709.66666666666666666666666667
"200612",32523455.0,31679664.0
"200701",34712168.0,32961422.33333333333333333333333333
"200702",31648644.0,34481458.66666666666666666666666667
"200703",37083564.0,33794018.0
"200704",32649846.0,35171845.33333333333333333333333333
"200705",35782126.0,34308923.33333333333333333333333333
"200706",34494798.0,35344431.33333333333333333333333333
"200707",35756370.0,35655487.33333333333333333333333333
"200708",36715294.0,35158362.0
"200709",33003422.0,35774714.66666666666666666666666667
"200710",37605428.0,35278211.33333333333333333333333333
"200711",35225784.0,36539248.33333333333333333333333333
"200712",36786533.0,36577464.66666666666666666666666667
"200801",37720077.0,36551631.33333333333333333333333333
"200802",35148284.0,36696291.0
"200803",37220512.0,36473449.0
"200804",37051551.0,37268565.33333333333333333333333333
"200805",37533633.0,37213043.66666666666666666666666667
"200806",37053947.0,38189623.33333333333333333333333333
"200807",39981290.0,38118465.0
"200808",37320158.0,38617406.0
"200809",38550770.0,38831845.0
"200810",40624607.0,38313643.66666666666666666666666667
"200811",35765554.0,39812126.66666666666666666666666667
"200812",43046219.0,39026503.66666666666666666666666667
"200901",38267738.0,39437131.33333333333333333333333333
"200902",36997437.0,38977256.0
"200903",41666593.0,39729461.33333333333333333333333333
"200904",40524354.0,40728440.66666666666666666666666667
"200905",39994375.0,41031222.33333333333333333333333333
"200906",42574938.0,41669715.83333333333333333333333333
"200907",42439834.5,41401858.16666666666666666666666667
"200908",39190802.0,41048731.83333333333333333333333333
"200909",41515559.0,41104816.33333333333333333333333333
"200910",42608088.0,41448787.33333333333333333333333333
"200911",40222715.0,42730410.33333333333333333333333333
"200912",45360428.0,41521180.33333333333333333333333333
"201001",38980398.0,40731102.0
"201002",37852480.0,40719560.0
"201003",45325802.0,41872594.0
"201004",42439500.0,43082637.33333333333333333333333333
"201005",41482610.0,42933539.66666666666666666666666667
"201006",44878509.0,43315693.0
"201007",43585960.0,44238907.66666666666666666666666667
"201008",44252254.0,43985650.0
"201009",44118736.0,43975360.0
"201010",43555090.0,44621222.33333333333333333333333333
"201011",46189841.0,45564870.66666666666666666666666667
"201012",46949681.0,45946798.0
"201101",44700872.0,44569825.93333333333333333333333333
"201102",42058924.8,45350975.6
"201103",49293130.0,45008322.93333333333333333333333333
"201104",43672914.0,46360111.33333333333333333333333333
"201105",46114290.0,46053971.33333333333333333333333333
"201106",48374710.0,46163436.66666666666666666666666667
"201107",44001310.0,46893080.0
"201108",48303220.0,46363175.0
"201109",46784995.0,46918425.0
"201110",45667060.0,46017425.0
"201111",45600220.0,46003570.0
"201112",46743430.0,45753619.66666666666666666666666667
"201201",44917209.0,45030472.33333333333333333333333333
"201202",43430778.0,44619477.33333333333333333333333333
"201203",45510445.0,43849381.0
"201204",42606920.0,44899984.33333333333333333333333333
"201205",46582588.0,44413199.0
"201206",44050089.0,44925499.0
"201207",44143820.0,44750583.0
"201208",46057840.0,43720561.66666666666666666666666667
"201209",40960025.0,43772123.33333333333333333333333333
"201210",44298505.0,42869053.33333333333333333333333333
"201211",43348630.0,43118305.0
"201212",41707780.0,43053415.0
"201301",44103835.0,41365745.0
"201302",38285620.0,40682513.0
"201303",39658084.0,40088862.0
"201304",42322882.0,41738896.0
"201305",43235722.0,41568222.66666666666666666666666667
"201306",39146064.0,41835991.66666666666666666666666667
"201307",43126189.0,41297380.0
"201308",41619887.0,40470698.66666666666666666666666667
"201309",36666020.0,39911435.66666666666666666666666667
"201310",41448400.0,38027203.33333333333333333333333333
"201311",35967190.0,38611436.0
"201312",38418718.0,37425568.0
"201401",37890796.0,36565589.0
"201402",33387253.0,36187293.0
"201403",37283830.0,35875929.33333333333333333333333333
"201404",36956705.0,37215836.66666666666666666666666667
"201405",37406975.0,37176707.33333333333333333333333333
"201406",37166442.0,38626275.66666666666666666666666667
"201407",41305410.0,39242652.33333333333333333333333333
"201408",39256105.0,40097955.0
"201409",39732350.0,40183511.66666666666666666666666667
"201410",41562080.0,38927386.66666666666666666666666667
"201411",35487730.0,39755220.0
"201412",42215850.0,38851790.0
